age,age_onset,birthplace,filename,,male,61,usa,FALSE,english,578,
46,10,"brussels, belgium",dutch6,,male,1388,germany,FALSE,english,578,
68,10,"amsterdam, netherlands",dutch7,,male,1390,usa,FALSE,english,578,
35,12,"alphen aan de ryn, netherlands",dutch8,,female,1395,usa,FALSE,english,578,
68,12,"almelo, netherlands",dutch9,,male,1409,usa,FALSE,english,578,
35,3,"okene, nigeria",ebira1,,male,1410,usa,FALSE,english,578,
25,6,"benin city, nigeria",edo1,,female,1411,usa,FALSE,english,578,
42,0,"pittsburgh, pennsylvania, usa",english1,,female,1412,usa,FALSE,english,578,
35,0,"davenport, iowa, usa",english10,,female,1413,usa,FALSE,english,578,
23,0,"miami, florida, usa",english100,,female,1416,usa,FALSE,english,578,
18,0,"toronto, ontario, canada",english101,,male,103,canada,FALSE,english,578,
22,0,"torrington, connecticut, usa",english102,,female,1419,australia,FALSE,english,578,
21,0,"staten island, new york, usa",english103,,female,1423,usa,FALSE,english,578,
18,0,"youngstown, ohio, usa",english104,,female,1428,ireland,FALSE,english,578,
57,0,"windsor, ontario, canada",english105,,female,1430,usa,FALSE,english,578,
39,0,"los angeles, california, usa",english106,,male,1469,usa,FALSE,english,578,
19,0,"chicago, illinois, usa",english107,,female,1471,usa,FALSE,english,578,
21,0,"strabane, northern ireland, uk",english108,,female,1475,the bahamas,FALSE,english,578,
26,0,"concord, new hampshire, usa",english109,,male,1477,usa,FALSE,english,578,
35,0,"staffordshire, uk",english11,,female,1492,usa,FALSE,english,578,
21,0,"great yarmouth, norfolk, uk",english110,,female,1493,canada,FALSE,english,578,
21,0,"bombay, india",english111,,female,104,usa,FALSE,english,578,
21,0,"st. thomas, us virgin islands",english112,,female,1502,uk,FALSE,english,578,
31,0,"wrexham, wales, uk",english113,,female,1524,usa,FALSE,english,578,
38,0,"birmingham 2, alabama, usa",english114,,male,1528,usa,FALSE,english,578,
31,0,"st. albans, hertfordshire, uk",english115,,male,1530,usa,FALSE,english,578,
56,0,"atlanta, georgia, usa",english116,,male,1531,usa,FALSE,english,578,
60,0,"elmore, alabama, usa",english117,,male,1532,usa,FALSE,english,578,
19,0,"akron, ohio, usa",english118,,female,1533,usa,FALSE,english,578,
32,0,"saskatoon, saskatchewan, canada",english119,,male,1534,usa,FALSE,english,578,
71,0,"leicester, uk",english12,,male,1536,uk,FALSE,english,578,
65,0,"saskatoon, saskatchewan, canada",english120,,male,1538,usa,FALSE,english,578,
21,0,"waconia, minnesota, usa",english121,,male,105,usa,FALSE,english,578,
20,0,"kuala lumpur, malaysia",english122,,male,1544,uk,FALSE,english,578,
28,0,"riverside, california, usa",english123,,male,1546,usa,FALSE,english,578,
38,0,"brooklyn, new york, usa",english124,,male,1547,australia,FALSE,english,578,
28,0,"st. george, queensland, australia",english125,,female,1548,usa,FALSE,english,578,
34,0,"cincinnati, ohio, usa",english126,,female,1550,usa,FALSE,english,578,
39,0,"new britain, connecticut, usa",english127,,female,1552,usa,FALSE,english,578,
20,0,"miami, florida, usa",english128,,female,1554,uk,FALSE,english,578,
25,0,"blackpool, lancashire, uk",english129,,male,1555,usa,FALSE,english,578,
69,0,"henley on thames, oxfordshire, uk",english13,,female,1559,usa,FALSE,english,578,
32,0,"port elizabeth, south africa",english130,,male,1560,usa,FALSE,english,578,
23,0,"west palm beach, florida, usa",english131,,male,106,usa,FALSE,english,578,
18,0,"toronto, ontario, canada",english132,,female,1561,uk,FALSE,english,578,
36,0,"norwich, new york, usa",english133,,female,1563,usa,FALSE,english,578,
22,0,"belfast, northern ireland, uk",english134,,male,1564,usa,FALSE,english,578,
22,0,"orange beach, alabama, usa",english135,,female,1571,usa,FALSE,english,578,
25,0,"calgary, alberta, canada",english136,,male,1618,canada,FALSE,english,578,
26,0,"charleston, west virginia, usa",english137,,male,1635,uk,FALSE,english,578,
25,0,"palmer, alaska, usa",english138,,male,1637,usa,FALSE,english,578,
20,0,"providence, rhode island, usa",english139,,male,1639,italy,FALSE,english,578,
40,0,"belfast, northern ireland, uk",english14,,male,1640,usa,FALSE,english,578,
43,0,"quezon city, philippines",english140,,male,1641,usa,FALSE,english,578,
19,0,"york, uk",english141,,female,107,usa,FALSE,english,578,
19,0,"avon, new york, usa",english142,,male,1642,uk,FALSE,english,578,
42,0,"minneapolis, minnesota, usa",english143,,female,1648,canada,FALSE,english,578,
24,0,"barneys river, nova scotia, canada",english144,,male,1649,spain,FALSE,english,578,
18,0,"bury st. edmunds, uk",english145,,male,1650,uk,FALSE,english,578,
22,0,"blytheville, arkansas, usa",english146,,female,1656,usa,FALSE,english,578,
40,0,"merced, california, usa",english147,,female,1657,usa,FALSE,english,578,
31,0,"sydney, australia",english148,,female,1658,usa,FALSE,english,578,
18,0,"lawrenceville, georgia, usa",english149,,female,1659,usa,FALSE,english,578,
7,0,"norton, virginia, usa",english15,,male,1661,canada,FALSE,english,578,
31,0,"brownsville, kentucky, usa",english150,,female,1664,usa,FALSE,english,578,
18,0,"baltimore, maryland, usa",english151,,male,108,papua new guinea,FALSE,english,578,
18,0,"adelaide, australia",english152,,male,1665,usa,FALSE,english,578,
35,0,"brisbane, australia",english153,,female,1666,usa,FALSE,english,578,
28,0,"glace bay, nova scotia, canada",english154,,female,1667,usa,FALSE,english,578,
35,0,"oakland, california, usa",english155,,male,1668,usa,FALSE,english,578,
33,0,"dublin, ireland",english156,,male,1672,ireland,FALSE,english,578,
35,0,"fort worth, texas, usa",english157,,male,1674,usa,FALSE,english,578,
18,0,"washington, district of columbia, usa",english158,,female,1683,guyana,FALSE,english,578,
18,0,"ottawa, ontario, canada",english159,,female,1688,uk,FALSE,english,578,
21,0,"wise, virginia, usa",english16,,female,1692,uk,FALSE,english,578,
21,0,"redwood falls, minnesota, usa",english160,,female,1694,jamaica,FALSE,english,578,
75,0,"wakefield, ohio, usa",english161,,male,109,usa,FALSE,english,578,
41,0,"delaware, ohio, usa",english162,,male,1709,new zealand,FALSE,english,578,
41,0,"fairview park, ohio, usa",english163,,female,1713,jamaica,FALSE,english,578,
38,0,"leeds, uk",english164,,female,1716,usa,FALSE,english,578,
43,0,"detroit, michigan, usa",english165,,male,1718,usa,FALSE,english,578,
18,0,"glenside, pennsylvania, usa",english166,,male,1719,usa,FALSE,english,578,
43,0,"lakeview, michigan, usa",english167,,male,1720,usa,FALSE,english,578,
40,0,"oceanside, california, usa",english168,,male,1724,uk,FALSE,english,578,
18,0,"cleveland, mississippi, usa",english169,,male,1726,usa,FALSE,english,578,
79,0,"darwin va, virginia, usa",english17,,male,1727,canada,FALSE,english,578,
50,0,"belmont, mississippi, usa",english170,,female,1728,usa,FALSE,english,578,
21,0,"st. louis, missouri, usa",english171,,male,110,usa,FALSE,english,578,
49,0,"kingston, jamaica",english172,,female,111,usa,FALSE,english,578,
19,0,"libertyville, illinois, usa",english173,,male,1733,australia,FALSE,english,578,
30,0,"kuching, sarawak, malaysia",english174,,female,1734,usa,FALSE,english,578,
24,0,"seattle, washington, usa",english175,,female,1735,usa,FALSE,english,578,
18,0,"elizabeth city, north carolina, usa",english176,,female,1739,nigeria,FALSE,english,578,
23,0,"new orleans, louisiana, usa",english177,,male,1786,usa,FALSE,english,578,
30,0,"wilkes-barre, pennsylvania, usa",english178,,female,1798,lebanon,FALSE,english,578,
57,0,"huron, south dakota, usa",english179,,female,1799,usa,FALSE,english,578,
39,0,"dickenson county, virginia, usa",english18,,male,1800,ghana,FALSE,english,578,
20,0,"newport, rhode island, usa",english180,,female,1801,usa,FALSE,english,578,
68,0,"new eagle, pennsylvania, usa",english181,,female,1802,usa,FALSE,english,578,
50,0,"troy, new york, usa",english182,,male,112,usa,FALSE,english,578,
55,0,"corriverton, guyana",english183,,female,1803,usa,FALSE,english,578,
18,0,"hillsboro, oregon, usa",english184,,female,1818,usa,FALSE,english,578,
38,0,"oxford, uk",english185,,female,1819,usa,FALSE,english,578,
39,0,"gadsden, alabama, usa",english186,,female,1856,panama,FALSE,english,578,
42,0,"algona, iowa, usa",english187,,male,1872,usa,FALSE,english,578,
35,0,"edinburgh, scotland, uk",english188,,female,1873,usa,FALSE,english,578,
19,0,"grand forks, north dakota, usa",english189,,female,1875,usa,FALSE,english,578,
53,0,"louisville, kentucky, usa",english19,,male,1876,usa,FALSE,english,578,
27,0,"oak park, illinois, usa",english190,,male,1878,ireland,FALSE,english,578,
19,0,"las cruces, new mexico, usa",english191,,female,1882,pakistan,FALSE,english,578,
27,0,"east lansing, michigan, usa",english192,,male,113,canada,FALSE,english,578,
32,0,"honolulu, hawaii, usa",english193,,female,1884,usa,FALSE,english,578,
19,0,"manchester, england, uk",english194,,female,1886,usa,FALSE,english,578,
21,0,"delavan, wisconsin, usa",english195,,female,1887,usa,FALSE,english,578,
50,0,"suva, fiji",english196,,female,1888,usa,FALSE,english,578,
22,0,"iowa city, iowa, usa",english197,,male,1890,usa,FALSE,english,578,
56,0,"washington, district of columbia, usa",english198,,female,1893,usa,FALSE,english,578,
25,0,"bay shore, new york, usa",english199,,male,1895,usa,FALSE,english,578,
30,0,"birmingham, uk",english2,,female,1907,usa,FALSE,english,578,
27,0,"mt. holly, north carolina, usa",english20,,female,1908,usa,FALSE,english,578,
22,0,"berkeley, california, usa",english200,,female,1925,usa,FALSE,english,578,
26,0,"warren, michigan, usa",english201,,male,114,usa,FALSE,english,578,
19,0,"crisfield, maryland, usa",english202,,female,1926,usa,FALSE,english,578,
63,0,"boston, massachusetts, usa",english203,,female,1928,usa,FALSE,english,578,
53,0,"chicago, illinois, usa",english204,,female,1933,usa,FALSE,english,578,
45,0,"blue earth, minnesota, usa",english205,,female,1934,usa,FALSE,english,578,
35,0,"hucknall, nottinghamshire, england, uk",english206,,female,1951,usa,FALSE,english,578,
23,0,"wilkes-barre, pennsylvania, usa",english207,,female,1955,usa,FALSE,english,578,
46,0,"washington, dc, usa",english208,,female,1956,usa,FALSE,english,578,
28,0,"saint johns, antigua and barbuda",english209,,female,1957,usa,FALSE,english,578,
37,0,"boston, massachusetts, usa",english21,,female,1958,usa,FALSE,english,578,
23,0,"trenton, nova scotia, canada",english210,,female,1959,usa,FALSE,english,578,
30,0,"worcester, massachusetts, usa",english211,,female,115,usa,FALSE,english,578,
24,0,"spartanburg, south carolina, usa",english212,,female,1960,usa,FALSE,english,578,
38,0,"dodge city, kansas, usa",english213,,female,1961,usa,FALSE,english,578,
26,0,"myrtle beach, south carolina, usa",english214,,male,1962,canada,FALSE,english,578,
20,0,"lemington spa, warwickshire, uk",english215,,female,1969,canada,FALSE,english,578,
48,0,"chicago, illinois, usa",english216,,male,1970,usa,FALSE,english,578,
66,0,"harrow, middlesex, uk",english217,,male,1995,usa,FALSE,english,578,
27,0,"abingdon, virginia, usa",english218,,female,1996,usa,FALSE,english,578,
38,0,"oakland, california, usa",english219,,male,1997,usa,FALSE,english,578,
25,0,"panama city, panama",english22,,male,2003,ireland,FALSE,english,578,
18,0,"anaheim, california, usa",english220,,female,2012,uk,FALSE,english,578,
45,0,"london, uk",english221,,female,116,usa,FALSE,english,578,
18,0,"auburn, indiana, usa",english222,,male,2028,usa,FALSE,english,578,
18,0,"erie, pennsylvania, usa",english223,,female,2029,usa,FALSE,english,578,
20,0,"bridgetown, barbados",english224,,female,2043,usa,FALSE,english,578,
50,0,"dundee, scotland, uk",english225,,male,2046,usa,FALSE,english,578,
38,0,"walton-on-thames, surrey, uk",english226,,female,2047,usa,FALSE,english,578,
42,0,"camberley, surrey, uk",english227,,male,2049,usa,FALSE,english,578,
59,0,"glasgow, scotland, uk",english228,,female,2050,usa,FALSE,english,578,
25,0,"burlington, vermont, usa",english229,,female,2053,united arab emirates,FALSE,english,578,
43,0,"englewood, tennessee, usa",english23,,male,2055,usa,FALSE,english,578,
35,0,"launceston, tasmania, australia",english230,,female,2056,usa,FALSE,english,578,
22,0,"tampa, florida, usa",english231,,male,117,uk,FALSE,english,578,
32,0,"metairie, louisiana, usa",english232,,female,2059,usa,FALSE,english,578,
26,0,"edmonton, alberta, canada",english233,,female,2060,usa,FALSE,english,578,
49,0,"bloomington, indiana, usa",english234,,female,2061,usa,FALSE,english,578,
52,0,"richmond, virginia, usa",english235,,male,2074,usa,FALSE,english,578,
44,0,"st. charles, illinois, usa",english236,,male,2077,usa,FALSE,english,578,
22,0,"jeffersonville, ohio, usa",english237,,female,2080,usa,FALSE,english,578,
21,0,"vancouver, british  columbia, canada",english238,,male,2081,uk,FALSE,english,578,
19,0,"fort kobbe, panama",english239,,male,2101,usa,FALSE,english,578,
37,0,"glasgow, scotland, uk",english24,,female,2103,usa,FALSE,english,578,
26,0,"guelph, ontario, canada",english240,,male,2104,australia,FALSE,english,578,
52,0,"wanganui, new zealand",english241,,male,118,uk,FALSE,english,578,
77,0,"laurel, mississippi, usa",english242,,female,2106,usa,FALSE,english,578,
27,0,"fredericton, new brunswick, canada",english243,,male,2113,usa,FALSE,english,578,
23,0,"san francisco, california, usa",english244,,male,2121,usa,FALSE,english,578,
25,0,"pittsburgh, pennsylvania, usa",english245,,male,2124,usa,FALSE,english,578,
32,0,"los angeles, california, usa",english246,,female,2162,canada,FALSE,english,578,
33,0,"prince rupert, british columbia, canada",english247,,male,2165,usa,FALSE,english,578,
18,0,"philadelphia, pennsylvania, usa",english248,,female,2167,usa,FALSE,english,578,
29,0,"boston, massachusetts, usa",english249,,female,2170,usa,FALSE,english,578,
57,0,"atlanta, georgia, usa",english25,,male,2171,uk,FALSE,english,578,
19,0,"chester, england, uk",english250,,male,2172,australia,FALSE,english,578,
21,0,"mt. kisco, new york, usa",english251,,female,119,uk,FALSE,english,578,
25,0,"san jose ca, california, usa",english252,,male,120,usa,FALSE,english,578,
21,0,"dublin, ireland",english253,,female,121,usa,FALSE,english,578,
39,0,"eugene, oregon, usa",english254,,male,122,usa,FALSE,english,578,
24,0,"oamaru, new zealand",english255,,male,123,canada,FALSE,english,578,
23,0,"laurinburg, north carolina, usa",english256,,male,124,usa,FALSE,english,578,
24,0,"san diego, california, usa",english257,,male,125,usa,FALSE,english,578,
24,0,"kilkenny, ireland",english258,,female,126,canada,FALSE,english,578,
23,0,"singapore, singapore",english259,,male,127,usa,FALSE,english,578,
71,0,"smith island, maryland, usa",english26,,male,128,usa,FALSE,english,578,
18,0,"phoenix, arizona, usa",english260,,male,129,usa,FALSE,english,578,
59,0,"forestville, maryland, usa",english261,,male,130,usa,FALSE,english,578,
60,0,"naylor, maryland, usa",english262,,male,131,australia,FALSE,english,578,
21,0,"oak forest, illinois, usa",english263,,male,132,usa,FALSE,english,578,
21,0,"freemont, california, usa",english264,,male,133,usa,FALSE,english,578,
31,0,"vancouver wa, washington, usa",english265,,male,134,usa,FALSE,english,578,
18,0,"san diego, california, usa",english266,,male,135,ireland,FALSE,english,578,
66,0,"leeds, uk",english267,,male,136,australia,FALSE,english,578,
67,0,"leeds, uk",english268,,male,137,usa,FALSE,english,578,
22,0,"adelaide, australia",english269,,male,138,usa,FALSE,english,578,
37,0,"smith island, maryland, usa",english27,,female,139,usa,FALSE,english,578,
29,0,"cape town, south africa",english270,,male,140,australia,FALSE,english,578,
32,0,"cape town, south africa",english271,,female,141,usa,FALSE,english,578,
20,0,"dallas, texas, usa",english272,,male,142,usa,FALSE,english,578,
46,0,"blue bell, pennsylvania, usa",english273,,female,143,australia,FALSE,english,578,
25,0,"sydney, australia",english274,,male,144,uk,FALSE,english,578,
20,0,"clifton, new jersey, usa",english275,,male,145,usa,FALSE,english,578,
50,0,"chattanooga, tennessee, usa",english276,,female,146,usa,FALSE,english,578,
48,0,"hudson, new york, usa",english277,,female,147,usa,FALSE,english,578,
18,0,"augusta, georgia, usa",english278,,male,148,australia,FALSE,english,578,
30,0,"singapore, singapore",english279,,male,149,uk,FALSE,english,578,
54,0,"toronto, ontario, canada",english28,,male,150,usa,FALSE,english,578,
19,0,"ramsey, isle of man",english280,,female,151,australia,FALSE,english,578,
23,0,"ramsey mn, minnesota, usa",english281,,male,152,usa,FALSE,english,578,
20,0,"tampa, florida, usa",english282,,male,153,usa,FALSE,english,578,
18,0,"pelham, new york, usa",english283,,female,154,usa,FALSE,english,578,
33,0,"gainesville, florida, usa",english284,,male,155,usa,FALSE,english,578,
50,0,"melbourne, australia",english285,,male,156,jamaica,FALSE,english,578,
21,0,"beaumont, texas, usa",english286,,female,157,usa,FALSE,english,578,
27,0,"singapore, singapore",english287,,female,158,usa,FALSE,english,578,
26,0,"st. louis, missouri, usa",english288,,female,159,usa,FALSE,english,578,
19,0,"fairfax, virginia, usa",english289,,male,160,usa,FALSE,english,578,
54,0,"lindsay, ontario, canada",english29,,male,161,usa,FALSE,english,578,
20,0,"duluth, georgia, usa",english290,,male,162,usa,FALSE,english,578,
18,0,"belize city, belize",english291,,male,163,usa,FALSE,english,578,
38,0,"kansas city, missouri, usa",english292,,female,164,usa,FALSE,english,578,
22,0,"billings, montana, usa",english293,,male,323,venezuela,FALSE,spanish,162,
19,0,"naracoorte, australia",english294,,male,324,el salvador,FALSE,spanish,162,
25,0,"airdrie, alberta, canada",english295,,female,1508,peru,FALSE,spanish,162,
18,0,"edmonton, alberta, canada",english296,,female,1574,el salvador,FALSE,spanish,162,
19,0,"lindenhurst, new york, usa",english297,,male,1575,bolivia,FALSE,spanish,162,
22,0,"lismore, new south wales, australia",english298,,male,1584,el salvador,FALSE,spanish,162,
59,0,"windsor, ontario, canada",english299,,female,1600,el salvador,FALSE,spanish,162,
26,0,"brisbane, australia",english3,,female,1613,spain,FALSE,spanish,162,
30,0,"st. mary's, ontario, canada",english30,,male,1621,peru,FALSE,spanish,162,
18,0,"dublin, ireland",english300,,male,1622,el salvador,FALSE,spanish,162,
41,0,"toronto, ontario, canada",english301,,male,1629,colombia,FALSE,spanish,162,
22,0,"melbourne, australia",english302,,male,1660,venezuela,FALSE,spanish,162,
45,0,"anaheim, california, usa",english303,,female,325,peru,FALSE,spanish,162,
20,0,"clare, ireland",english304,,male,1680,venezuela,FALSE,spanish,162,
24,0,"la paz, bolivia",english305,,male,1689,chile,FALSE,spanish,162,
24,0,"london, uk",english306,,male,1693,bolivia,FALSE,spanish,162,
48,0,"alexandria, va, usa",english307,,male,1695,bolivia,FALSE,spanish,162,
34,0,"cardiff, wales, uk",english308,,female,1732,spain,FALSE,spanish,162,
44,0,"dunedin, new zealand",english309,,female,1744,bolivia,FALSE,spanish,162,
31,0,"st. augustine, trinidad",english31,,male,1747,colombia,FALSE,spanish,162,
37,0,"oxford, uk",english310,,male,1797,spain,FALSE,spanish,162,
38,0,"detroit, michigan, usa",english311,,female,1806,mexico,FALSE,spanish,162,
40,0,"edmonton, alberta, canada",english312,,female,1807,spain,FALSE,spanish,162,
28,0,"silver spring, maryland, usa",english313,,male,326,spain,FALSE,spanish,162,
26,0,"memphis, tennessee, usa",english314,,female,1823,colombia,FALSE,spanish,162,
25,0,"los angeles, california, usa",english315,,male,1826,el salvador,FALSE,spanish,162,
33,0,"sacramento, california, usa",english316,,female,1831,mexico,FALSE,spanish,162,
26,0,"burlington, vermont, usa",english317,,female,1834,colombia,FALSE,spanish,162,
46,0,"sarnia, ontario, canada",english318,,male,1835,bolivia,FALSE,spanish,162,
29,0,"grimsby, lincolnshire, uk",english319,,male,1840,peru,FALSE,spanish,162,
50,0,"fresno, california, usa",english32,,female,1853,panama,FALSE,spanish,162,
59,0,"maryland county, liberia",english320,,male,1860,el salvador,FALSE,spanish,162,
52,0,"brooklyn, new york, usa",english321,,female,1869,peru,FALSE,spanish,162,
29,0,"yorkton, saskatchewan, canada",english322,,female,1874,cuba,FALSE,spanish,162,
31,0,"regina, saskatchewan, canada",english323,,female,327,colombia,FALSE,spanish,162,
28,0,"st. marys, ontario, canada",english324,,male,1891,ecuador,FALSE,spanish,162,
32,0,"reading, pennsylvania, usa",english325,,male,1903,cuba,FALSE,spanish,162,
53,0,"fairborn, ohio, usa",english326,,female,1904,puerto rico,FALSE,spanish,162,
27,0,"dunedin, florida, usa",english327,,male,1916,bolivia,FALSE,spanish,162,
23,0,"hollywood, florida, usa",english328,,female,1921,el salvador,FALSE,spanish,162,
21,0,"boise, idaho, usa",english329,,female,1923,cuba,FALSE,spanish,162,
21,0,"san diego, california, usa",english33,,male,1949,chile,FALSE,spanish,162,
18,0,"augusta, georgia, usa",english330,,female,1979,el salvador,FALSE,spanish,162,
28,0,"perth, australia",english331,,female,1980,el salvador,FALSE,spanish,162,
20,0,"baltimore, maryland, usa",english332,,male,1981,guatemala,FALSE,spanish,162,
32,0,"spokane, washington, usa",english333,,female,328,colombia,FALSE,spanish,162,
18,0,"derby, england, uk",english334,,female,1985,bolivia,FALSE,spanish,162,
6,0,"washington, district of columbia, usa",english335,,male,2009,el salvador,FALSE,spanish,162,
46,0,"baltimore, maryland, usa",english336,,female,2016,el salvador,FALSE,spanish,162,
84,0,"jersey city, new jersey, usa",english337,,male,2026,spain,FALSE,spanish,162,
53,0,"sydney, australia",english338,,female,2051,mexico,FALSE,spanish,162,
54,0,"chicago, illinois, usa",english339,,female,2052,mexico,FALSE,spanish,162,
18,0,"ronkonkoma, new york, usa",english34,,male,2057,mexico,FALSE,spanish,162,
19,0,"charleston, west virginia, usa",english340,,male,2078,nicaragua,FALSE,spanish,162,
23,0,"new york, new york, usa",english341,,male,2079,honduras,FALSE,spanish,162,
33,0,"kansas city, missouri, usa",english342,,male,2091,nicaragua,FALSE,spanish,162,
23,0,"portland, maine, usa",english343,,male,329,puerto rico,FALSE,spanish,162,
19,0,"lumberton, north carolina, usa",english344,,male,2094,nicaragua,FALSE,spanish,162,
20,0,"kansas city, missouri, usa",english345,,female,2096,nicaragua,FALSE,spanish,162,
60,0,"east hartford, connecticut, usa",english346,,male,2100,spain,FALSE,spanish,162,
22,0,"burnsville, minnesota, usa",english347,,male,2118,colombia,FALSE,spanish,162,
20,0,"las pinas, philippines",english348,,male,2127,uruguay,FALSE,spanish,162,
24,0,"warrenton, virginia, usa",english349,,male,2130,peru,FALSE,spanish,162,
60,0,"milwaukee, wisconsin, usa",english35,,female,2142,uruguay,FALSE,spanish,162,
18,0,"polesworth, staffordshire, uk",english350,,female,2144,mexico,FALSE,spanish,162,
37,0,"carthage, missouri, usa",english351,,female,2148,puerto rico,FALSE,spanish,162,
25,0,"singapore, singapore",english352,,male,2149,el salvador,FALSE,spanish,162,
18,0,"saskatoon, saskatchewan, canada",english353,,male,330,argentina,FALSE,spanish,162,
23,0,"christchurch, new zealand",english354,,male,2150,colombia,FALSE,spanish,162,
19,0,"los angeles, california, usa",english355,,female,2156,nicaragua,FALSE,spanish,162,
23,0,"morden, manitoba, canada",english356,,male,2169,mexico,FALSE,spanish,162,
24,0,"alto, georgia, usa",english357,,female,331,mexico,FALSE,spanish,162,
19,0,"fredericton, new brunswick, canada",english358,,male,332,bolivia,FALSE,spanish,162,
32,0,"sackville, new brunswick, canada",english359,,female,333,cuba,FALSE,spanish,162,
60,0,"arcadia, wisconsin, usa",english36,,male,334,venezuela,FALSE,spanish,162,
19,0,"erie, pennsylvania, usa",english360,,male,335,nicaragua,FALSE,spanish,162,
20,0,"burnsville, minnesota, usa",english361,,male,336,chile,FALSE,spanish,162,
21,0,"cork, ireland",english362,,female,337,spain,FALSE,spanish,162,
20,0,"castle donington, uk",english363,,male,338,chile,FALSE,spanish,162,
28,0,"sydney, australia",english364,,male,339,mexico,FALSE,spanish,162,
52,0,"oxford, uk",english365,,male,340,costa rica,FALSE,spanish,162,
25,0,"bournesmouth, uk",english366,,male,341,spain,FALSE,spanish,162,
25,0,"birkenhead, uk",english367,,male,342,spain,FALSE,spanish,162,
43,0,"strattford-on-avon, uk",english368,,female,343,el salvador,FALSE,spanish,162,
27,0,"mcminnville, oregon, usa",english369,,male,410,venezuela,FALSE,spanish,162,
28,0,"yole, india",english37,,female,344,colombia,FALSE,spanish,162,
22,0,"pondicherry, india",english370,,male,441,argentina,FALSE,spanish,162,
27,0,"colorado springs, colorado, usa",english371,,female,449,ecuador,FALSE,spanish,162,
80,0,"christiansburg, virginia, usa",english372,,male,450,bolivia,FALSE,spanish,162,
22,0,"russellville, kentucky, usa",english373,,male,467,venezuela,FALSE,spanish,162,
36,0,"milford haven, wales, uk",english374,,male,476,spain,FALSE,spanish,162,
28,0,"manchester, connecticut, usa",english375,,male,479,mexico,FALSE,spanish,162,
46,0,"pasadena, california, usa",english376,,male,499,uruguay,FALSE,spanish,162,
32,0,"trenton, michigan, usa",english377,,female,575,honduras,FALSE,spanish,162,
38,0,"silver spring, maryland, usa",english378,,male,576,honduras,FALSE,spanish,162,
43,0,"summit, new jersey, usa",english379,,male,614,spain,FALSE,spanish,162,
27,0,"littlehampton, uk",english38,,female,345,el salvador,FALSE,spanish,162,
34,0,"roanoke, virginia, usa",english380,,male,644,costa rica,FALSE,spanish,162,
85,0,"pike county, kentucky, usa",english381,,male,706,dominican republic,FALSE,spanish,162,
34,0,"arlington, virginia, usa",english382,,female,712,colombia,FALSE,spanish,162,
32,0,"washington, district of columbia, usa",english383,,male,714,dominican republic,FALSE,spanish,162,
57,0,"williamson, west virginia, usa",english384,,female,716,dominican republic,FALSE,spanish,162,
77,0,"mcveigh, kentucky, usa",english385,,female,715,dominican republic,FALSE,spanish,162,
56,0,"los angeles, california, usa",english386,,male,717,dominican republic,FALSE,spanish,162,
21,0,"lancaster, california, usa",english387,,female,718,dominican republic,FALSE,spanish,162,
70,0,"bluefield, west virginia, usa",english388,,male,731,spain,FALSE,spanish,162,
71,0,"aldie, virginia, usa",english389,,male,732,argentina,FALSE,spanish,162,
59,0,"new orleans, louisiana, usa",english39,,female,346,colombia,FALSE,spanish,162,
74,0,"milwaukee, wisconsin, usa",english390,,male,752,dominican republic,FALSE,spanish,162,
84,0,"milton, florida, usa",english391,,male,753,puerto rico,FALSE,spanish,162,
62,0,"warrenton, virginia, usa",english392,,female,777,colombia,FALSE,spanish,162,
58,0,"washington, district of columbia, usa",english393,,male,797,colombia,FALSE,spanish,162,
82,0,"aiken, south carolina, usa",english394,,male,800,chile,FALSE,spanish,162,
39,0,"alexandria, virginia, usa",english395,,male,810,argentina,FALSE,spanish,162,
48,0,"orange, virginia, usa",english396,,male,838,mexico,FALSE,spanish,162,
76,0,"wadesboro, north carolina, usa",english397,,male,886,uruguay,FALSE,spanish,162,
83,0,"salisbury, north carolina, usa",english398,,male,906,colombia,FALSE,spanish,162,
80,0,"la grange, georgia, usa",english399,,female,908,puerto rico,FALSE,spanish,162,
53,0,"saint anne's bay, jamaica",english4,,male,347,peru,FALSE,spanish,162,
53,0,"dudley, uk",english40,,female,915,dominican republic,FALSE,spanish,162,
59,0,"shanklin, isle of wight, uk",english400,,male,924,spain,FALSE,spanish,162,
26,0,"lucerne, switzerland",english401,,female,925,argentina,FALSE,spanish,162,
26,0,"canberra, australia",english402,,female,959,spain,FALSE,spanish,162,
29,0,"sydney, australia",english403,,male,962,colombia,FALSE,spanish,162,
29,0,"windsor, australia",english404,,male,1069,colombia,FALSE,spanish,162,
32,0,"geelong, australia",english405,,male,1077,el salvador,FALSE,spanish,162,
24,0,"pensacola, florida, usa",english406,,female,1111,colombia,FALSE,spanish,162,
47,0,"windsor, ontario, canada",english407,,male,1227,chile,FALSE,spanish,162,
64,0,"lynwood, california, usa",english408,,female,1229,venezuela,FALSE,spanish,162,
60,0,"maitland, australia",english409,,female,348,colombia,FALSE,spanish,162,
44,0,"wellington, new zealand",english41,,female,1230,colombia,FALSE,spanish,162,
35,0,"hamilton, new zealand",english410,,male,1231,argentina,FALSE,spanish,162,
26,0,"washington, district of columbia, usa",english411,,female,1238,usa,FALSE,spanish,162,
31,0,"washington, district of columbia, usa",english412,,male,1240,venezuela,FALSE,spanish,162,
20,0,"manchester, england, uk",english413,,male,1249,spain,FALSE,spanish,162,
